"Name","Disbursement","Commitment"
"Regional and Unspecified","4268828588.3199973","3898150790.9800005"
"Developing countries, unspecified","4268828588.3199973","3898150790.9800005"
"South of Sahara","863517749.4099998","771316656.5999999"
"Ethiopia","133607752.92999999","116126222.03"
"Somalia","106060398.99","130180192.69"
"Mozambique","100611231.42999999","93146545"
"Tanzania, United Republic of","99515805.88000001","79017517.56"
"Kenya","85662393.61999999","65862276.02"
"South of Sahara, regional","81635333.64999999","78356671.55"
"South Sudan","46213145.26","40189134.5"
"Zambia","45965750.279999994","42526162.03"
"Uganda","28610185.839999996","23060506"
"Congo, the Democratic Republic of the","18475057.759999998","18129760.71"
"Sierra Leone","12349556.39","2278312"
"South Africa","12005546.92","8588158.46"
"Sudan","10993757.87","9378622.629999999"
"Namibia","9663166.68","4120453"
"Central African Republic","9374938.98","9686899.4"
"Mali","5748712.640000001","5413682.85"
"Nigeria","5714721","5873998"
"Malawi","5661980.55","4070354.51"
"Ghana","5582591.9","1141662.06"
"Mauritius","5004638.390000001","6700000"
"Burundi","4287492.82","4079408"
"Niger","3817973.2800000003","3065114.0300000003"
"Zimbabwe","3217815.96","3128278.9"
"Chad","2971327","2971327"
"Burkina Faso","2960346","2288048"
"Senegal","2906168.58","1678883.81"
"Eritrea","2656352.44","4125379"
"Liberia","2170905","752096.37"
"Cameroon","1544370.21","276627"
"Côte d'Ivoire","1436080","1020770"
"Rwanda","1073477.44","1058680"
"Madagascar","1064549","1002440"
"Botswana","938989.55","652430.49"
"Togo","861569.78","37073"
"Swaziland","812564","25500"
"Angola","802054","0"
"Mauritania","649642.39","127500"
"Guinea","331722","545618"
"Benin","258547","244746"
"Lesotho","230000","350000"
"Congo","35000","0"
"Djibouti","26280","26280"
"Comoros","4496","9966"
"Sao Tome and Principe","3360","3360"
"South & Central Asia","412178496.57","340339899.82000005"
"Afghanistan","152992341.76999998","118132260"
"Nepal","118780314.35","79240526.23"
"Myanmar","78016195.09","94077138"
"India","10623583.17","10535270"
"Kyrgyzstan","8672172.48","5189302"
"Tajikistan","8181013.77","5056607.74"
"Georgia","7628891.66","7738031.85"
"South Asia, regional","7060494.5600000005","5300843"
"Bangladesh","6183642","6309484"
"South & Central Asia, regional","4729197","4410651"
"Sri Lanka","3363648.08","563985"
"Pakistan","1397477.23","454964"
"North & Central America, regional","1190321.5199999998","714918"
"Bhutan","1165425.98","677980"
"Uzbekistan","1045362","1149082"
"Armenia","568999.28","345642"
"Azerbaijan","338145","140158"
"Turkmenistan","129013","133013"
"Kazakhstan","112258.63","170044"
"Middle East","260153035.56","272088333.07"
"Middle East, regional","94832788.03","99304618"
"Syrian Arab Republic","77873175","84200653.33"
"Yemen","32528247","31677153.67"
"Iraq","28667198.53","29109962"
"Lebanon","18446236","19826435.07"
"Jordan","7680574","7725782"
"Iran, Islamic Republic of","124817","243729"
"Far East Asia","166313941.44","109120262.66"
"Asia, regional","72716903.20000002","51477265.76"
"Viet Nam","46766990.55","14020260"
"Indonesia","21900737.569999997","25565171.810000002"
"Cambodia","9079297.469999999","8086905.890000001"
"China","5515640.790000001","1057376"
"Philippines","3361374.61","2218977"
"Korea, Democratic People's Republic of","2247460.2","2030288.2"
"Mongolia","2205702","2423423"
"Thailand","1193501.6900000002","1385484"
"Timor-Leste","765882.36","125968"
"Far East Asia, regional","549679","717228"
"Malaysia","10772","11915"
"Europe","115015399.16000001","128632483.62"
"Ukraine","40974560.89","52188025.870000005"
"Turkey","40070378.84","45699452"
"Serbia","13201054","12804959"
"Kosovo","6519223.77","6028862.04"
"Europe, regional","4955768.98","5122938"
"Moldova, Republic of","4169728.58","3027575.4"
"Bosnia and Herzegovina","2686463.39","2472662.54"
"Albania","1025687.54","556511"
"States Ex-Yugoslavia unspecified","583687","127650"
"Belarus","423273.17","472193"
"Macedonia, the Former Yugoslav Republic of","405071","131152.77"
"Montenegro","502","502"
"South America","42681102.18","26661852.689999998"
"South America, regional","18692029.740000002","11126881.51"
"Colombia","13650710.809999999","12646007.399999999"
"Bolivia, Plurinational State of","3005034.63","1434994.78"
"America, regional","2822937.1399999997","55680"
"Peru","1986744.86","313789"
"Paraguay","510584","39000"
"Venezuela, Bolivarian Republic of","500000","500000"
"Brazil","479826","316823"
"Chile","306605","88115"
"Ecuador","301370.1","37880"
"Guyana","288236.9","72530"
"Argentina","75842","6652"
"Uruguay","60767","22500"
"Suriname","414","1000"
"North of Sahara","38765640.129999995","37715955.07"
"Lebanon","18446236","19826435.07"
"North of Sahara, regional","14045910","13402969"
"Egypt","3884748.18","2657426"
"Tunisia","1941826.3199999998","1056443"
"Morocco","446919.63","772682"
"North & Central America","25877140.67","6733554.5"
"Central Asia, regional","7102923.039999999","1509598"
"Honduras","6854103.73","496551.06"
"Mexico","4358012","346549"
"Nicaragua","3705931.69","1947638.8599999999"
"Haiti","1392261.54","1049492.53"
"Guatemala","1253611.1","846680.47"
"Dominican Republic","1036400.57","384937.58"
"El Salvador","98722","0"
"Cuba","44271","18377"
"Panama","24638","22960"
"Costa Rica","6266","1100"
"Saint Lucia","0","109670"
"Oceania","1973378","42637"
"Oceania, regional","1957205","0"
"Vanuatu","16173","42637"
