"Name","Org type","Disbursement","Commitment"
"United Nations (UN) agency, fund or commission","Multilateral Organisations","1419812562.17","1356504801.45"
"European Union Institutions","Multilateral Organisations","1355176065.51","1054742513.5200001"
"World Bank Group (WB)","Multilateral Organisations","763083594.75","554726716"
"Other multilateral institutions","Multilateral Organisations","311327216.12999994","424067442.22999996"
"Regional Development Banks","Multilateral Organisations","309066135.76","268841788"
"Donor country-based NGO","Non-Governmental Organisation (NGO) and Civil Society","677583270.5400001","558595119.14"
"International NGO","Non-Governmental Organisation (NGO) and Civil Society","102809723.92000002","117770870"
"Developing country-based NGO","Non-Governmental Organisation (NGO) and Civil Society","62270253.3","56769641"
"Donor Government","Public Sector Institutions","560429558.94","590679216.22"
"Recipient Government","Public Sector Institutions","223884327.01","181449922"
"Private sector in provider country","Private Sector Institutions","366720656.29999995","352587112.95"
"Private sector in recipient country","Private Sector Institutions","5441718.3","1576560"
"Private sector in third country","Private Sector Institutions","3624139.34","4246951"
"University, college or other teaching institution, research institute or think-tank","Others","60533596.62","56170243"
"Networks","Public-Private Partnerships (PPP) and Networks","8861008.780000001","7384945"
"Public-Private Partnerships (PPP)","Public-Private Partnerships (PPP) and Networks","8396845","8435845"
