"Code","Name","Disbursement","Commitment"
"2","Economic sectors","415317985.15","419525356.96"
"210","Transport & Storage","3329053.79","1274432"
"21010","Transport policy and administrative management","120000","571113"
"21020","Road transport","3129853.79","604212"
"21050","Air transport","4200","0"
"21081","Education and training in transport and storage","75000","99107"
"220","Communications","33951192.84","34749505.2"
"22010","Communications policy and administrative management","3899747","1000000"
"22020","Telecommunications","240786","523539"
"22030","Radio/television/print media","446675","485992"
"22040","Information and communication technology (ICT)","29363984.84","32739974.200000003"
"231","Energy Policy","8352260.01","8167452"
"23110","Energy policy and administrative management","5355365.6","1103258"
"23183","Energy conservation and demand-side efficiency","2996894.4099999997","7064194"
"232","Energy generation, renewable sources","183573810.87","157183097"
"23210","Energy generation, renewable sources - multiple technologies","155225176.59","138694040"
"23220","Hydro-electric power plants","6511529.4","20000"
"23230","Solar energy for centralised grids","2141149.6399999997","941930"
"23240","Wind energy","13135848","10830351"
"23250","Marine energy","114243","177527"
"23270","Biofuel-fired power plants","6445864.24","6519249"
"233","Energy generation, non-renewable sources","491994.92999999993","5000"
"23310","Energy generation, non-renewable sources, unspecified","491994.92999999993","5000"
"236","Energy distribution","23446229.819999993","644176"
"23630","Electric power transmission and distribution (centralised grids)","23446229.819999993","644176"
"240","Banking & Financial Services","117377844.68","163793095.76"
"24010","Financial policy and administrative management","4582540.3100000005","6202500"
"24020","Monetary institutions","12889","0"
"24030","Formal sector financial intermediaries","78896134.07","139725849"
"24040","Informal/semi-formal financial intermediaries","33886281.300000004","17864746.759999998"
"250","Business & Other Services","44795598.21","53708599"
"25010","Business Policy and Administration","42749230.21","45611437"
"25020","Privatisation","39215","97162"
"25030","Business development services","2007153","8000000"
"11","Education","341269180.87999994","333588166.73"
"111","Education, Level Unspecified","100515755.14","93396237.44"
"11110","Education policy and administrative management","56643943.489999995","47653383.61"
"11120","Education facilities and training","24777065.200000003","15914165"
"11130","Teacher training","16149372.06","22601873.83"
"11182","Educational research","2945374.39","7226815"
"112","Basic Education","186621181.45","175417096.31"
"11220","Primary education","147421639.70999998","147216416"
"11230","Basic life skills for youth and adults","29429229.910000004","25630591.630000003"
"11240","Early childhood education","9770311.83","2570088.68"
"113","Secondary Education","26068322.390000004","26648671.98"
